05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_K3;05_L1_I_K3;05_L1_t_PAC2;05_L1_I_PAC2;05_L1_t_Rogowsikeinspeisung;05_L1_I_Rogowsikeinspeisung;05_L1_t_Rogowsikprüfling;05_L1_I_Rogowsikprüfling;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_K3;05_L2_I_K3;05_L2_t_PAC2;05_L2_I_PAC2;05_L2_t_Rogowsikeinspeisung;05_L2_I_Rogowsikeinspeisung;05_L2_t_Rogowsikprüfling;05_L2_I_Rogowsikprüfling;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_K3;05_L3_I_K3;05_L3_t_PAC2;05_L3_I_PAC2;05_L3_t_Rogowsikeinspeisung;05_L3_I_Rogowsikeinspeisung;05_L3_t_Rogowsikprüfling;05_L3_I_Rogowsikprüfling;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_K3;20_L1_I_K3;20_L1_t_PAC2;20_L1_I_PAC2;20_L1_t_Rogowsikeinspeisung;20_L1_I_Rogowsikeinspeisung;20_L1_t_Rogowsikprüfling;20_L1_I_Rogowsikprüfling;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_K3;20_L2_I_K3;20_L2_t_PAC2;20_L2_I_PAC2;20_L2_t_Rogowsikeinspeisung;20_L2_I_Rogowsikeinspeisung;20_L2_t_Rogowsikprüfling;20_L2_I_Rogowsikprüfling;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_K3;20_L3_I_K3;20_L3_t_PAC2;20_L3_I_PAC2;20_L3_t_Rogowsikeinspeisung;20_L3_I_Rogowsikeinspeisung;20_L3_t_Rogowsikprüfling;20_L3_I_Rogowsikprüfling;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_K3;50_L1_I_K3;50_L1_t_PAC2;50_L1_I_PAC2;50_L1_t_Rogowsikeinspeisung;50_L1_I_Rogowsikeinspeisung;50_L1_t_Rogowsikprüfling;50_L1_I_Rogowsikprüfling;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_K3;50_L2_I_K3;50_L2_t_PAC2;50_L2_I_PAC2;50_L2_t_Rogowsikeinspeisung;50_L2_I_Rogowsikeinspeisung;50_L2_t_Rogowsikprüfling;50_L2_I_Rogowsikprüfling;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_K3;50_L3_I_K3;50_L3_t_PAC2;50_L3_I_PAC2;50_L3_t_Rogowsikeinspeisung;50_L3_I_Rogowsikeinspeisung;50_L3_t_Rogowsikprüfling;50_L3_I_Rogowsikprüfling;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_K3;80_L1_I_K3;80_L1_t_PAC2;80_L1_I_PAC2;80_L1_t_Rogowsikeinspeisung;80_L1_I_Rogowsikeinspeisung;80_L1_t_Rogowsikprüfling;80_L1_I_Rogowsikprüfling;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_K3;80_L2_I_K3;80_L2_t_PAC2;80_L2_I_PAC2;80_L2_t_Rogowsikeinspeisung;80_L2_I_Rogowsikeinspeisung;80_L2_t_Rogowsikprüfling;80_L2_I_Rogowsikprüfling;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_K3;80_L3_I_K3;80_L3_t_PAC2;80_L3_I_PAC2;80_L3_t_Rogowsikeinspeisung;80_L3_I_Rogowsikeinspeisung;80_L3_t_Rogowsikprüfling;80_L3_I_Rogowsikprüfling;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_K3;90_L1_I_K3;90_L1_t_PAC2;90_L1_I_PAC2;90_L1_t_Rogowsikeinspeisung;90_L1_I_Rogowsikeinspeisung;90_L1_t_Rogowsikprüfling;90_L1_I_Rogowsikprüfling;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_K3;90_L2_I_K3;90_L2_t_PAC2;90_L2_I_PAC2;90_L2_t_Rogowsikeinspeisung;90_L2_I_Rogowsikeinspeisung;90_L2_t_Rogowsikprüfling;90_L2_I_Rogowsikprüfling;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_K3;90_L3_I_K3;90_L3_t_PAC2;90_L3_I_PAC2;90_L3_t_Rogowsikeinspeisung;90_L3_I_Rogowsikeinspeisung;90_L3_t_Rogowsikprüfling;90_L3_I_Rogowsikprüfling;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_K3;100_L1_I_K3;100_L1_t_PAC2;100_L1_I_PAC2;100_L1_t_Rogowsikeinspeisung;100_L1_I_Rogowsikeinspeisung;100_L1_t_Rogowsikprüfling;100_L1_I_Rogowsikprüfling;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_K3;100_L2_I_K3;100_L2_t_PAC2;100_L2_I_PAC2;100_L2_t_Rogowsikeinspeisung;100_L2_I_Rogowsikeinspeisung;100_L2_t_Rogowsikprüfling;100_L2_I_Rogowsikprüfling;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_K3;100_L3_I_K3;100_L3_t_PAC2;100_L3_I_PAC2;100_L3_t_Rogowsikeinspeisung;100_L3_I_Rogowsikeinspeisung;100_L3_t_Rogowsikprüfling;100_L3_I_Rogowsikprüfling;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_K3;120_L1_I_K3;120_L1_t_PAC2;120_L1_I_PAC2;120_L1_t_Rogowsikeinspeisung;120_L1_I_Rogowsikeinspeisung;120_L1_t_Rogowsikprüfling;120_L1_I_Rogowsikprüfling;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_K3;120_L2_I_K3;120_L2_t_PAC2;120_L2_I_PAC2;120_L2_t_Rogowsikeinspeisung;120_L2_I_Rogowsikeinspeisung;120_L2_t_Rogowsikprüfling;120_L2_I_Rogowsikprüfling;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_K3;120_L3_I_K3;120_L3_t_PAC2;120_L3_I_PAC2;120_L3_t_Rogowsikeinspeisung;120_L3_I_Rogowsikeinspeisung;120_L3_t_Rogowsikprüfling;120_L3_I_Rogowsikprüfling
29;192.260559082031;29;190.972229003906;29;192.263916015625;29;186.631942749023;29;0.0;29;170.556060791016;29;161.45832824707;29;171.099990844727;29;176.504623413086;29;0.0;29;195.796142578125;29;180.555557250977;29;196.223190307617;29;186.631942749023;29;0.0;29;774.312805175781;29;769.965270996094;29;773.024047851563;29;817.419006347656;29;0.0;29;831.638427734375;29;819.444458007813;29;776.970092773438;29;842.013854980469;29;0.0;29;801.605224609375;29;798.611083984375;29;802.122680664063;29;817.419006347656;29;0.0;29;1956.46374511719;29;1968.75;29;1951.68774414063;29;1935.76391601563;29;0.0;29;1977.73864746094;29;1969.6181640625;29;1986.97473144531;29;1996.52770996094;29;0.0;29;1983.58410644531;29;1965.27783203125;29;1983.42358398438;29;1935.76391601563;29;0.0;29;3199.65380859375;29;3222.22216796875;29;3192.38525390625;29;3168.40283203125;29;0.0;29;3215.06469726563;29;3207.46533203125;29;3213.54248046875;29;3239.2939453125;29;0.0;29;3199.73706054688;29;3186.63208007813;29;3197.58715820313;29;3168.40283203125;29;0.0;29;3557.32641601563;29;3578.125;29;3549.4765625;29;3522.85888671875;29;0.0;29;3596.75;29;3580.72900390625;29;3602.53979492188;29;3624.13208007813;29;0.0;29;3590.9951171875;29;3572.04858398438;29;3588.96704101563;29;3522.85888671875;29;0.0;29;3964.76171875;29;3983.50708007813;29;3980.6328125;29;3945.3125;29;0.0;29;4006.40063476563;29;4000.8681640625;29;4008.384765625;29;4039.35205078125;29;0.0;29;3974.89282226563;29;3962.673828125;29;3972.05834960938;29;3945.3125;29;0.0;29;4817.47216796875;29;4853.298828125;29;4803.5654296875;29;4772.85888671875;29;0.0;29;4822.34130859375;29;4815.10400390625;29;4811.14111328125;29;5056.42333984375;29;0.0;29;4790.36279296875;29;4780.3818359375;29;5149.25048828125;29;4772.85888671875;29;0.0
30;192.190994262695;30;190.972229003906;30;192.233154296875;30;186.631942749023;30;0.0;30;170.556060791016;30;162.326385498047;30;171.111083984375;30;176.504623413086;30;0.0;30;195.796798706055;30;179.6875;30;196.197891235352;30;186.631942749023;30;0.0;30;774.502380371094;30;769.097229003906;30;773.174011230469;30;763.888854980469;30;0.0;30;831.656616210938;30;801.215270996094;30;774.04150390625;30;943.286987304688;30;0.0;30;801.605224609375;30;795.138916015625;30;801.782592773438;30;763.888854980469;30;0.0;30;1955.82104492188;30;1968.75;30;1951.71630859375;30;1935.76391601563;30;0.0;30;1977.96801757813;30;1968.75;30;1993.50073242188;30;1996.52770996094;30;0.0;30;1985.81237792969;30;1965.27783203125;30;1985.03308105469;30;1935.76391601563;30;0.0;30;3199.298828125;30;3219.6181640625;30;3191.90185546875;30;3168.40283203125;30;0.0;30;3214.38452148438;30;3205.72900390625;30;3214.0908203125;30;3239.2939453125;30;0.0;30;3200.06811523438;30;3186.63208007813;30;3197.78979492188;30;3168.40283203125;30;0.0;30;3558.052734375;30;3578.125;30;3551.2060546875;30;3522.85888671875;30;0.0;30;3589.814453125;30;3580.72900390625;30;3606.53662109375;30;3624.13208007813;30;0.0;30;3592.384765625;30;3572.91674804688;30;3589.29443359375;30;3522.85888671875;30;0.0;30;3958.01440429688;30;3985.24291992188;30;3949.66821289063;30;3917.82397460938;30;0.0;30;4006.67041015625;30;4000.0;30;4008.5830078125;30;4036.45849609375;30;0.0;30;3974.673828125;30;3963.54174804688;30;3972.15502929688;30;3917.82397460938;30;0.0;30;4819.529296875;30;4853.298828125;30;4805.830078125;30;4772.85888671875;30;0.0;30;4823.044921875;30;4815.10400390625;30;4823.13427734375;30;5059.3173828125;30;0.0;30;4801.72314453125;30;4781.25;30;5169.78076171875;30;4772.85888671875;30;0.0
31;192.225448608398;31;190.972229003906;31;192.238800048828;31;186.631942749023;31;0.0;31;170.546371459961;31;162.326385498047;31;171.111083984375;31;176.504623413086;31;0.0;31;195.812591552734;31;179.6875;31;196.197891235352;31;186.631942749023;31;0.0;31;774.499877929688;31;756.944396972656;31;773.290588378906;31;763.888854980469;31;0.0;31;825.461120605469;31;760.416625976563;31;774.229614257813;31;943.286987304688;31;0.0;31;802.940795898438;31;780.381896972656;31;802.188293457031;31;763.888854980469;31;0.0;31;1955.86181640625;31;1983.50695800781;31;1951.33715820313;31;1937.21069335938;31;0.0;31;1977.69482421875;31;1974.82641601563;31;1994.67236328125;31;1995.0810546875;31;0.0;31;1986.15649414063;31;1968.75;31;1985.08654785156;31;1937.21069335938;31;0.0;31;3198.99633789063;31;3219.6181640625;31;3191.90185546875;31;3166.9560546875;31;0.0;31;3213.01391601563;31;3204.86108398438;31;3214.45556640625;31;3239.2939453125;31;0.0;31;3200.19580078125;31;3186.63208007813;31;3198.099609375;31;3166.9560546875;31;0.0;31;3558.35961914063;31;3622.39575195313;31;3549.93115234375;31;3525.75244140625;31;0.0;31;3588.51293945313;31;3591.14599609375;31;3607.3095703125;31;3616.89794921875;31;0.0;31;3590.955078125;31;3578.9931640625;31;3587.39013671875;31;3525.75244140625;31;0.0;31;3957.40185546875;31;3984.375;31;3949.66821289063;31;3919.27099609375;31;0.0;31;4006.92431640625;31;4000.0;31;4008.59985351563;31;4037.90502929688;31;0.0;31;3975.15356445313;31;3962.673828125;31;3972.1162109375;31;3919.27099609375;31;0.0;31;4819.703125;31;4852.4306640625;31;4805.4130859375;31;4772.85888671875;31;0.0;31;4823.3779296875;31;4815.97216796875;31;4824.62646484375;31;5057.8701171875;31;0.0;31;4823.09033203125;31;4777.77783203125;31;5180.14697265625;31;4772.85888671875;31;0.0
32;192.225448608398;32;190.972229003906;32;192.238800048828;32;186.631942749023;32;0.0;32;170.546371459961;32;162.326385498047;32;171.163650512695;32;176.504623413086;32;0.0;32;195.881317138672;32;179.6875;32;196.302444458008;32;186.631942749023;32;0.0;32;774.460327148438;32;756.076354980469;32;773.188659667969;32;755.208374023438;32;0.0;32;772.987731933594;32;759.548583984375;32;776.236572265625;32;794.270874023438;32;0.0;32;807.072387695313;32;779.513854980469;32;803.487060546875;32;755.208374023438;32;0.0;32;1956.33483886719;32;2010.41662597656;32;1951.58374023438;32;1935.76391601563;32;0.0;32;1984.0224609375;32;1981.77087402344;32;1995.2890625;32;1996.52770996094;32;0.0;32;1985.45153808594;32;1970.48608398438;32;1984.48034667969;32;1935.76391601563;32;0.0;32;3198.62939453125;32;3219.6181640625;32;3190.87060546875;32;3166.9560546875;32;0.0;32;3212.23266601563;32;3204.86108398438;32;3214.77490234375;32;3239.2939453125;32;0.0;32;3200.43115234375;32;3186.63208007813;32;3198.29565429688;32;3166.9560546875;32;0.0;32;3555.32861328125;32;3633.68041992188;32;3548.11474609375;32;3525.75244140625;32;0.0;32;3598.2353515625;32;3595.48608398438;32;3607.94750976563;32;3616.89794921875;32;0.0;32;3591.1962890625;32;3579.86108398438;32;3588.18017578125;32;3525.75244140625;32;0.0;32;3958.3505859375;32;3984.375;32;3950.01391601563;32;3919.27099609375;32;0.0;32;4006.98876953125;32;4000.8681640625;32;4014.65234375;32;4036.45849609375;32;0.0;32;3979.02124023438;32;3962.673828125;32;3983.38305664063;32;3919.27099609375;32;0.0;32;4820.1474609375;32;4852.4306640625;32;4806.2578125;32;4771.412109375;32;0.0;32;4823.5849609375;32;4827.2568359375;32;4824.22998046875;32;5062.21044921875;32;0.0;32;4823.384765625;32;4787.32666015625;32;5181.7724609375;32;4771.412109375;32;0.0
33;192.243118286133;33;190.972229003906;33;192.258056640625;33;186.631942749023;33;0.0;33;170.542053222656;33;162.326385498047;33;171.163650512695;33;176.504623413086;33;0.0;33;195.885055541992;33;179.6875;33;196.302444458008;33;186.631942749023;33;0.0;33;773.057434082031;33;756.076354980469;33;770.520263671875;33;753.761596679688;33;0.0;33;772.987731933594;33;759.548583984375;33;789.296264648438;33;794.270874023438;33;0.0;33;807.989868164063;33;779.513854980469;33;808.163513183594;33;753.761596679688;33;0.0;33;1955.97277832031;33;2015.625;33;1952.00598144531;33;1954.57177734375;33;0.0;33;1991.65490722656;33;1986.11108398438;33;2008.04016113281;33;2026.90979003906;33;0.0;33;2004.06579589844;33;1971.35424804688;33;2009.0625;33;1954.57177734375;33;0.0;33;3198.57958984375;33;3221.35424804688;33;3191.38940429688;33;3166.9560546875;33;0.0;33;3212.57836914063;33;3204.86108398438;33;3215.22680664063;33;3298.61108398438;33;0.0;33;3200.64306640625;33;3187.5;33;3198.25415039063;33;3166.9560546875;33;0.0;33;3556.68579101563;33;3632.8125;33;3553.9716796875;33;3570.60205078125;33;0.0;33;3604.33984375;33;3597.22216796875;33;3608.3310546875;33;3631.36547851563;33;0.0;33;3591.26684570313;33;3578.9931640625;33;3588.00219726563;33;3570.60205078125;33;0.0;33;3959.63012695313;33;3983.50708007813;33;3950.87622070313;33;3919.27099609375;33;0.0;33;4007.28198242188;33;4000.8681640625;33;4025.82641601563;33;4036.45849609375;33;0.0;33;4010.26318359375;33;3962.673828125;33;4009.71459960938;33;3919.27099609375;33;0.0;33;4820.1357421875;33;4857.63916015625;33;4805.515625;33;4771.412109375;33;0.0;33;4831.05859375;33;4829.861328125;33;4823.8359375;33;5066.55078125;33;0.0;33;4823.587890625;33;4811.6318359375;33;5184.658203125;33;4771.412109375;33;0.0
34;192.243118286133;34;190.972229003906;34;192.282165527344;34;186.631942749023;34;0.0;34;170.551605224609;34;162.326385498047;34;171.190063476563;34;176.504623413086;34;0.0;34;195.901184082031;34;180.555557250977;34;196.302886962891;34;186.631942749023;34;0.0;34;761.432434082031;34;773.4375;34;761.398254394531;34;753.761596679688;34;0.0;34;774.111755371094;34;762.15283203125;34;789.296264648438;34;785.590270996094;34;0.0;34;807.989868164063;34;782.118041992188;34;808.163513183594;34;753.761596679688;34;0.0;34;1979.318359375;34;2015.625;34;1980.7802734375;34;1954.57177734375;34;0.0;34;1993.83874511719;34;1985.24304199219;34;2010.93310546875;34;2026.90979003906;34;0.0;34;2019.84191894531;34;1970.48608398438;34;2018.97497558594;34;1954.57177734375;34;0.0;34;3198.02368164063;34;3219.6181640625;34;3190.70971679688;34;3166.9560546875;34;0.0;34;3212.82543945313;34;3205.72900390625;34;3214.51000976563;34;3298.61108398438;34;0.0;34;3199.7041015625;34;3187.5;34;3197.5078125;34;3166.9560546875;34;0.0;34;3592.81176757813;34;3631.94458007813;34;3591.61083984375;34;3570.60205078125;34;0.0;34;3605.40502929688;34;3598.09033203125;34;3608.43408203125;34;3631.36547851563;34;0.0;34;3591.34594726563;34;3579.86108398438;34;3588.16357421875;34;3570.60205078125;34;0.0;34;3959.23681640625;34;3985.24291992188;34;3950.27319335938;34;3920.71752929688;34;0.0;34;4007.49951171875;34;4000.0;34;4025.45825195313;34;4037.90502929688;34;0.0;34;4014.0810546875;34;3962.673828125;34;4011.59326171875;34;3920.71752929688;34;0.0;34;4819.412109375;34;4856.77099609375;34;4806.24755859375;34;4774.3056640625;34;0.0;34;4838.32763671875;34;4829.861328125;34;4820.27392578125;34;5070.8916015625;34;0.0;34;4822.55322265625;34;4811.6318359375;34;5186.6201171875;34;4774.3056640625;34;0.0
35;192.231796264648;35;190.972229003906;35;192.258087158203;35;186.631942749023;35;0.0;35;170.600280761719;35;162.326385498047;35;171.191070556641;35;176.504623413086;35;0.0;35;195.942794799805;35;180.555557250977;35;196.391937255859;35;186.631942749023;35;0.0;35;761.432434082031;35;801.215270996094;35;760.197998046875;35;752.314880371094;35;0.0;35;784.179931640625;35;773.4375;35;789.457458496094;35;785.590270996094;35;0.0;35;808.122314453125;35;785.59033203125;35;808.221801757813;35;752.314880371094;35;0.0;35;2000.17333984375;35;2016.4931640625;35;1996.87768554688;35;1979.16674804688;35;0.0;35;1993.73229980469;35;2000.0;35;2010.56188964844;35;2024.01623535156;35;0.0;35;2019.73657226563;35;1991.3193359375;35;2018.82104492188;35;1979.16674804688;35;0.0;35;3197.74829101563;35;3219.6181640625;35;3190.59106445313;35;3211.80541992188;35;0.0;35;3213.34130859375;35;3206.59741210938;35;3213.79663085938;35;3237.84716796875;35;0.0;35;3199.25170898438;35;3187.5;35;3196.94311523438;35;3211.80541992188;35;0.0;35;3609.29150390625;35;3632.8125;35;3601.935546875;35;3572.04858398438;35;0.0;35;3605.7421875;35;3598.09033203125;35;3609.53076171875;35;3632.8125;35;0.0;35;3591.34594726563;35;3578.9931640625;35;3588.89916992188;35;3572.04858398438;35;0.0;35;3958.43188476563;35;3987.84716796875;35;3949.79809570313;35;3920.71752929688;35;0.0;35;4009.85595703125;35;4016.4931640625;35;4027.693359375;35;4040.79858398438;35;0.0;35;4016.005859375;35;3992.1875;35;4014.90698242188;35;3920.71752929688;35;0.0;35;4820.15478515625;35;4856.77099609375;35;4807.79052734375;35;4774.3056640625;35;0.0;35;4837.12939453125;35;4829.861328125;35;4808.40478515625;35;5070.8916015625;35;0.0;35;4822.55322265625;35;4812.5;35;5183.1689453125;35;4774.3056640625;35;0.0
36;192.240081787109;36;190.972229003906;36;192.258087158203;36;186.631942749023;36;0.0;36;170.592498779297;36;162.326385498047;36;171.199295043945;36;176.504623413086;36;0.0;36;195.938110351563;36;180.555557250977;36;196.335952758789;36;186.631942749023;36;0.0;36;765.270141601563;36;802.083312988281;36;760.15576171875;36;788.483764648438;36;0.0;36;788.076416015625;36;775.173583984375;36;789.457458496094;36;795.717590332031;36;0.0;36;808.140563964844;36;785.59033203125;36;808.221801757813;36;788.483764648438;36;0.0;36;2003.056640625;36;2019.96533203125;36;1998.66064453125;36;1979.16674804688;36;0.0;36;2004.65588378906;36;2001.73620605469;36;2010.30737304688;36;2024.01623535156;36;0.0;36;2020.15270996094;36;2005.20837402344;36;2019.23937988281;36;1979.16674804688;36;0.0;36;3198.91870117188;36;3219.6181640625;36;3191.36108398438;36;3211.80541992188;36;0.0;36;3213.7080078125;36;3205.72900390625;36;3214.32373046875;36;3237.84716796875;36;0.0;36;3199.08666992188;36;3186.63208007813;36;3196.83325195313;36;3211.80541992188;36;0.0;36;3608.7353515625;36;3634.548828125;36;3601.328125;36;3572.04858398438;36;0.0;36;3605.78100585938;36;3598.09033203125;36;3610.50317382813;36;3632.8125;36;0.0;36;3592.0625;36;3578.9931640625;36;3589.19897460938;36;3572.04858398438;36;0.0;36;3958.71899414063;36;3989.58349609375;36;3951.10375976563;36;3919.27099609375;36;0.0;36;4024.0263671875;36;4019.09716796875;36;4038.11499023438;36;4042.24536132813;36;0.0;36;4021.38549804688;36;4001.73608398438;36;4019.15258789063;36;3919.27099609375;36;0.0;36;4823.65380859375;36;4857.63916015625;36;4810.013671875;36;4775.75244140625;36;0.0;36;4837.17578125;36;4828.9931640625;36;4806.66162109375;36;5073.78466796875;36;0.0;36;4817.970703125;36;4812.5;36;5179.81640625;36;4775.75244140625;36;0.0
37;192.229919433594;37;190.972229003906;37;192.27131652832;37;186.631942749023;37;0.0;37;170.610366821289;37;162.326385498047;37;171.262847900391;37;176.504623413086;37;0.0;37;195.992752075195;37;179.6875;37;196.408584594727;37;186.631942749023;37;0.0;37;796.869079589844;37;802.083312988281;37;767.619323730469;37;788.483764648438;37;0.0;37;788.076416015625;37;775.173583984375;37;789.649353027344;37;795.717590332031;37;0.0;37;808.195983886719;37;785.59033203125;37;808.202697753906;37;788.483764648438;37;0.0;37;2002.85363769531;37;2019.96533203125;37;1997.72924804688;37;1982.06018066406;37;0.0;37;2010.12426757813;37;2001.73620605469;37;2010.17041015625;37;2024.01623535156;37;0.0;37;2020.22119140625;37;2004.34020996094;37;2019.56506347656;37;1982.06018066406;37;0.0;37;3197.6572265625;37;3222.22216796875;37;3190.11450195313;37;3168.40283203125;37;0.0;37;3213.20361328125;37;3204.86108398438;37;3215.25219726563;37;3237.84716796875;37;0.0;37;3199.31420898438;37;3186.63208007813;37;3197.2861328125;37;3168.40283203125;37;0.0;37;3608.25170898438;37;3633.68041992188;37;3600.22778320313;37;3574.94213867188;37;0.0;37;3607.13989257813;37;3599.82641601563;37;3610.33740234375;37;3632.8125;37;0.0;37;3592.0625;37;3578.9931640625;37;3588.71435546875;37;3574.94213867188;37;0.0;37;3959.78491210938;37;3990.45141601563;37;3952.41064453125;37;3923.61108398438;37;0.0;37;4024.78295898438;37;4019.09716796875;37;4042.9111328125;37;4042.24536132813;37;0.0;37;4022.8388671875;37;4002.60400390625;37;4019.5146484375;37;3923.61108398438;37;0.0;37;4823.44873046875;37;4824.65283203125;37;4810.1025390625;37;4765.625;37;0.0;37;4823.8310546875;37;4812.5;37;4806.62548828125;37;5067.99755859375;37;0.0;37;4820.271484375;37;4810.76416015625;37;5178.443359375;37;4765.625;37;0.0
38;192.260025024414;38;190.972229003906;38;192.27131652832;38;186.631942749023;38;0.0;38;170.639068603516;38;162.326385498047;38;199.492553710938;38;176.504623413086;38;0.0;38;200.18798828125;38;180.555557250977;38;202.298217773438;38;186.631942749023;38;0.0;38;805.89404296875;38;802.083312988281;38;804.746032714844;38;794.270874023438;38;0.0;38;788.401306152344;38;776.041687011719;38;789.622619628906;38;800.057861328125;38;0.0;38;808.138549804688;38;786.458374023438;38;808.254760742188;38;794.270874023438;38;0.0;38;2003.46313476563;38;2019.96533203125;38;1999.69323730469;38;1983.50695800781;38;0.0;38;2009.48498535156;38;2001.73620605469;38;2010.17932128906;38;2024.01623535156;38;0.0;38;2019.51281738281;38;2005.20837402344;38;2018.8193359375;38;1983.50695800781;38;0.0;38;3197.21069335938;38;3218.75;38;3189.69165039063;38;3168.40283203125;38;0.0;38;3212.44213867188;38;3204.86108398438;38;3215.23413085938;38;3237.84716796875;38;0.0;38;3200.40991210938;38;3186.63208007813;38;3198.3388671875;38;3168.40283203125;38;0.0;38;3608.28662109375;38;3632.8125;38;3600.65551757813;38;3574.94213867188;38;0.0;38;3607.13989257813;38;3600.6943359375;38;3610.50439453125;38;3632.8125;38;0.0;38;3591.16821289063;38;3579.86108398438;38;3587.38891601563;38;3574.94213867188;38;0.0;38;3963.70532226563;38;4032.11791992188;38;3955.96020507813;38;3923.61108398438;38;0.0;38;4025.43408203125;38;4028.64575195313;38;4043.54370117188;38;4055.26611328125;38;0.0;38;4022.11840820313;38;4009.548828125;38;4018.76733398438;38;3923.61108398438;38;0.0;38;4823.82666015625;38;4812.5;38;4810.38232421875;38;4765.625;38;0.0;38;4823.8310546875;38;4809.89599609375;38;4808.98486328125;38;5067.99755859375;38;0.0;38;4820.271484375;38;4807.29150390625;38;5182.58056640625;38;4765.625;38;0.0
39;192.277252197266;39;190.972229003906;39;192.308090209961;39;186.631942749023;39;0.0;39;170.643753051758;39;162.326385498047;39;221.029724121094;39;176.504623413086;39;0.0;39;207.852142333984;39;180.555557250977;39;208.270278930664;39;186.631942749023;39;0.0;39;805.89404296875;39;802.083312988281;39;804.746032714844;39;794.270874023438;39;0.0;39;788.64208984375;39;775.173583984375;39;789.751098632813;39;800.057861328125;39;0.0;39;808.187316894531;39;785.59033203125;39;808.291259765625;39;794.270874023438;39;0.0;39;2006.67761230469;39;2018.22924804688;39;2002.19921875;39;1989.2939453125;39;0.0;39;2009.26647949219;39;2000.86804199219;39;2010.17932128906;39;2026.90979003906;39;0.0;39;2019.51281738281;39;2005.20837402344;39;2018.8193359375;39;1989.2939453125;39;0.0;39;3198.37548828125;39;3219.6181640625;39;3191.54833984375;39;3166.9560546875;39;0.0;39;3212.74682617188;39;3205.72900390625;39;3215.03247070313;39;3237.84716796875;39;0.0;39;3201.61840820313;39;3185.763671875;39;3199.55834960938;39;3166.9560546875;39;0.0;39;3609.5830078125;39;3632.8125;39;3601.93188476563;39;3573.49536132813;39;0.0;39;3608.10375976563;39;3600.6943359375;39;3610.087890625;39;3634.25952148438;39;0.0;39;3590.68090820313;39;3577.2568359375;39;3588.310546875;39;3573.49536132813;39;0.0;39;3963.55029296875;39;4046.0068359375;39;3955.58325195313;39;3943.86547851563;39;0.0;39;4034.41943359375;39;4036.45849609375;39;4043.47802734375;39;4055.26611328125;39;0.0;39;4021.88208007813;39;4010.41674804688;39;4018.85498046875;39;3943.86547851563;39;0.0;39;4796.302734375;39;4812.5;39;4803.703125;39;4765.625;39;0.0;39;4819.44482421875;39;4809.89599609375;39;4809.775390625;39;5067.99755859375;39;0.0;39;4819.91748046875;39;4806.423828125;39;5183.2626953125;39;4765.625;39;0.0
