wandler_key,folder,phase,target_load,nennstrom,val_ref_mean,val_ref_std,val_dut_mean,val_dut_std,dut_name,ref_name,comparison_mode,raw_file,trace_id,err_ratio,err_std,unique_id,legend_name,color_hex
MBS ASK101.4_8R1,01_Parallel,L1,5,2000.0,99.53648712158204,23.72416411678784,99.69311083984375,23.66064865545489,PAC2,PAC1,device_ref,2025_12_04_1415-MBS-ASK101.4-2000A-8R1_sortiert.csv,"MBS ASK101.4 | PAC2 | 8,1 Ω | Parallel",0.15735307000577575,23.77082951154769,MBS ASK101.4_8R1 - 01_Parallel | PAC2,"MBS ASK101.4 | PAC2 | 8,1 Ω | Parallel",#1f4e8c
Celsa ALO_8030_K_8R1,01_Parallel,L2,5,2000.0,100.80204489135743,23.104102300632437,100.8999834289551,23.105052444327647,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",0.09715927658335384,22.921214018257114,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L3,5,2000.0,100.36540005493167,14.616197360685689,100.57723739624024,14.617920339294416,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",0.21106610564260614,14.564700914153466,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L1,20,2000.0,400.806871032715,24.18161423691499,399.9349678344728,24.040710354199902,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.21753698882348418,5.998078399269166,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L2,20,2000.0,400.2930286254884,21.701825812459894,399.74464697265637,21.656276651604053,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.1369950545266849,5.4101058731816005,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L3,20,2000.0,399.9302322998047,16.47912535049377,399.69418048095713,16.43645959712441,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.059023249502828834,4.109831733051615,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L1,100,2000.0,1999.196885986329,21.69303819867908,1992.1459665527357,21.37113244460885,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.3526875958550113,1.0689858810011668,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L2,100,2000.0,2000.513100585939,27.703091401706413,1995.162176025392,27.496117102871246,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.267477606569017,1.3744532387624848,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L3,100,2000.0,1999.895599853517,7.493869410210867,1995.904291015626,7.447547362743184,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.19957585976904635,0.37239680727777397,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L1,120,2000.0,2400.2567705078145,12.380437830281817,2390.0069321289084,11.926779247277347,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.4270309120610296,0.4968959735401158,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L2,120,2000.0,2400.2590307617215,25.814305758295127,2391.7406093750024,25.515274014761378,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.3548959207130184,1.0630216858996302,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Celsa ALO_8030_K_8R1,01_Parallel,L3,120,2000.0,2400.166385253908,15.009858182257577,2394.9645717773465,14.998895964498631,Pruefling,Einspeisung,device_ref,2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1_sortiert.csv,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",-0.21672720310227253,0.6249106752202069,Celsa ALO_8030_K_8R1 - 01_Parallel | Pruefling,"Celsa ALO 8030 K | Pruefling | 8,1 Ω | Parallel",#2c6fb2
Redur 13A1030.3ffp_8R1,01_Parallel,L1,5,2000.0,98.9629464416504,14.336827396208406,99.39851274108888,14.274372664300724,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",0.44013069042491754,14.42395682177576,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L2,5,2000.0,100.85449183654784,10.103899545770307,101.30249555969242,10.021649170891065,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",0.4442080020299425,9.936740534207324,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L3,5,2000.0,100.36694395446777,11.493746607948989,100.78983293151859,11.487772870741965,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",0.4213428848074365,11.445773297584392,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L1,20,2000.0,400.2012413330079,10.216928755303696,400.4716881713868,10.235099670043383,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",0.06757771102310928,2.557488236656104,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L2,20,2000.0,401.20920416259776,19.17395886499116,401.6786339111329,19.221917590310813,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",0.1170037336294302,4.7909961663094744,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L3,20,2000.0,399.7431149902345,7.936288801783353,400.3360728759767,7.940802760638817,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",0.14833473385943516,1.9864764302026332,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L1,100,2000.0,1999.875835937501,17.236107178532617,1998.2400175781258,17.18612399212432,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",-0.081795996030342,0.859359550392678,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L2,100,2000.0,1998.552424072267,13.58115926835199,1998.0104187011727,13.522941915507968,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",-0.027119897610187512,0.6766368373741986,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L3,100,2000.0,2000.1823969726577,12.917054128320833,2000.5164487304698,12.861354440371683,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",0.016701064778780906,0.6430090805637411,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L1,120,2000.0,2399.79144824219,18.479395559218478,2397.3830439453145,18.418571050987513,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",-0.10035889988022943,0.7675071541937042,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L2,120,2000.0,2400.4294799804716,17.972432756313808,2388.061639160158,17.308347578264172,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",-0.5152344996368837,0.7210521168239019,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_8R1,01_Parallel,L3,120,2000.0,2400.4390468750025,11.990693617020547,2400.2954765625027,11.96829681373535,Pruefling,Einspeisung,device_ref,2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",-0.005981002212355228,0.4985878241447625,Redur 13A1030.3ffp_8R1 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 8,1 Ω | Parallel",#4a8fd1
Redur 13A1030.3ffp_0R0,01_Parallel,L1,5,2000.0,100.06121781921388,19.297751037343158,100.98107041931155,19.592326460665355,Pruefling,Einspeisung,device_ref,2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0_sortiert.csv,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",0.9192898309109312,19.580339803642897,Redur 13A1030.3ffp_0R0 - 01_Parallel | Pruefling,"Redur 13A1030.3ffp | Pruefling | 0,0 Ω | Parallel",#6aa9e3
