05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;129.659973144531;0;129.812362670898;0;90.3671875;0;90.6492080688477;0;113.497497558594;0;113.855628967285;0;509.887390136719;0;508.968719482422;0;516.760925292969;0;516.247436523438;0;486.359954833984;0;486.132904052734;0;1249.73474121094;0;1247.1279296875;0;1249.19213867188;0;1249.81848144531;0;1224.20043945313;0;1228.40856933594;0;2012.98083496094;0;2006.98937988281;0;2005.73876953125;0;2000.05859375;0;1989.1611328125;0;1982.82849121094;0;2239.19482421875;0;2231.83129882813;0;2290.45654296875;0;2277.90747070313;0;2259.73486328125;0;2241.57397460938;0;2511.71411132813;0;2504.86547851563;0;2535.43041992188;0;2525.98828125;0;2516.0517578125;0;2510.6787109375;0;2999.45458984375;0;2989.95263671875;0;3025.06079101563;0;2994.81665039063;0;2997.51977539063;0;2989.39965820313
1;129.685241699219;1;129.596130371094;1;90.3857269287109;1;90.5012435913086;1;113.521156311035;1;113.648567199707;1;509.905242919922;1;508.893951416016;1;516.728942871094;1;516.212524414063;1;486.35107421875;1;486.064666748047;1;1251.87475585938;1;1250.51306152344;1;1258.89685058594;1;1261.14794921875;1;1245.7763671875;1;1256.689453125;1;2012.12451171875;1;2006.98779296875;1;2004.58056640625;1;1999.98779296875;1;1988.80529785156;1;1985.77624511719;1;2238.03442382813;1;2231.822265625;1;2282.89379882813;1;2276.0625;1;2243.53344726563;1;2239.5439453125;1;2510.6904296875;1;2503.33715820313;1;2535.53442382813;1;2526.62719726563;1;2516.521484375;1;2511.82104492188;1;2999.30712890625;1;2989.61376953125;1;3024.73559570313;1;2994.638671875;1;2997.06079101563;1;2989.16333007813
2;129.724517822266;2;129.690673828125;2;90.4015655517578;2;90.5595779418945;2;113.557746887207;2;113.746383666992;2;509.782623291016;2;510.122314453125;2;517.260681152344;2;521.581359863281;2;487.067138671875;2;498.673553466797;2;1254.11364746094;2;1250.9775390625;2;1263.46691894531;2;1260.89331054688;2;1261.01574707031;2;1259.53735351563;2;2012.95324707031;2;2008.14599609375;2;2005.2451171875;2;2000.59606933594;2;1989.53747558594;2;1986.05151367188;2;2238.19116210938;2;2231.17553710938;2;2282.13842773438;2;2268.21044921875;2;2243.90966796875;2;2236.72900390625;2;2511.01025390625;2;2504.43481445313;2;2536.11328125;2;2526.119140625;2;2517.04296875;2;2511.62084960938;2;3000.24682617188;2;2989.6689453125;2;3025.15380859375;2;2995.25952148438;2;2996.58862304688;2;2988.85009765625
3;129.726150512695;3;129.713790893555;3;90.4253005981445;3;90.5850524902344;3;113.578872680664;3;113.775093078613;3;513.268798828125;3;513.338073730469;3;528.558532714844;3;530.009582519531;3;515.599548339844;3;521.778625488281;3;1253.80139160156;3;1250.75622558594;3;1263.17883300781;3;1260.83422851563;3;1261.23059082031;3;1259.51721191406;3;2013.92517089844;3;2008.54736328125;3;2005.20959472656;3;2000.47155761719;3;1989.46337890625;3;1985.37329101563;3;2233.67797851563;3;2220.71801757813;3;2254.89379882813;3;2219.04760742188;3;2234.63818359375;3;2222.96435546875;3;2512.23022460938;3;2505.08227539063;3;2535.58911132813;3;2526.0791015625;3;2516.74487304688;3;2511.96362304688;3;3000.81298828125;3;2990.72631835938;3;3025.31030273438;3;2995.28564453125;3;2996.55981445313;3;2988.37353515625
4;129.717971801758;4;129.716049194336;4;90.4270706176758;4;90.6171722412109;4;113.580635070801;4;113.801620483398;4;514.386352539063;4;513.512634277344;4;530.653259277344;4;530.105224609375;4;523.09375;4;522.880310058594;4;1253.59851074219;4;1250.68041992188;4;1262.97155761719;4;1260.70361328125;4;1261.08923339844;4;1259.51184082031;4;2013.50537109375;4;2007.81005859375;4;2004.99975585938;4;2000.5556640625;4;1988.87646484375;4;1985.609375;4;2224.76708984375;4;2217.36328125;4;2216.61962890625;4;2208.79663085938;4;2224.76245117188;4;2221.39672851563;4;2512.12329101563;4;2503.92114257813;4;2535.94873046875;4;2526.35278320313;4;2517.24438476563;4;2511.97607421875;4;3000.65771484375;4;2990.70385742188;4;3025.94140625;4;2995.771484375;4;2997.14697265625;4;2988.90893554688
5;129.711944580078;5;129.691360473633;5;90.4312057495117;5;90.629150390625;5;113.573547363281;5;113.77416229248;5;514.513427734375;5;513.545043945313;5;530.646484375;5;530.050415039063;5;523.238586425781;5;522.919982910156;5;1253.96862792969;5;1251.24047851563;5;1262.9111328125;5;1260.50561523438;5;1261.26440429688;5;1259.52514648438;5;2013.33764648438;5;2007.73181152344;5;2005.4453125;5;2000.79187011719;5;1989.27758789063;5;1985.84973144531;5;2223.30297851563;5;2216.244140625;5;2215.12646484375;5;2209.05224609375;5;2225.17041015625;5;2221.43481445313;5;2511.12329101563;5;2503.72412109375;5;2535.98022460938;5;2526.19653320313;5;2517.05102539063;5;2511.94140625;5;3000.26684570313;5;2990.16870117188;5;3025.51782226563;5;2996.1904296875;5;2997.07885742188;5;2989.19653320313
6;129.710845947266;6;129.691360473633;6;90.4577255249023;6;90.629150390625;6;113.560012817383;6;113.77416229248;6;514.5283203125;6;513.569091796875;6;530.448669433594;6;529.99658203125;6;523.1474609375;6;522.907348632813;6;1254.36376953125;6;1251.24340820313;6;1262.72961425781;6;1260.49365234375;6;1261.25451660156;6;1259.55017089844;6;2013.37084960938;6;2008.00805664063;6;2005.52563476563;6;2001.00708007813;6;1989.31420898438;6;1985.89440917969;6;2222.57690429688;6;2216.00708007813;6;2215.14208984375;6;2208.576171875;6;2225.2119140625;6;2221.29638671875;6;2511.15844726563;6;2504.13159179688;6;2535.99243164063;6;2525.82202148438;6;2516.82690429688;6;2511.59497070313;6;3000.16137695313;6;2989.99389648438;6;3025.51806640625;6;2995.39111328125;6;2996.6259765625;6;2988.56518554688
7;129.708999633789;7;129.69612121582;7;90.438720703125;7;90.5937881469727;7;113.536087036133;7;113.749336242676;7;514.522766113281;7;513.655334472656;7;530.458618164063;7;529.883544921875;7;523.143676757813;7;522.754699707031;7;1253.86267089844;7;1251.00610351563;7;1263.75573730469;7;1261.20971679688;7;1261.04052734375;7;1259.4287109375;7;2014.06860351563;7;2008.57983398438;7;2005.60583496094;7;2001.18029785156;7;1989.72338867188;7;1986.39306640625;7;2222.45361328125;7;2216.43627929688;7;2214.52075195313;7;2208.05932617188;7;2225.078125;7;2221.23266601563;7;2511.68627929688;7;2504.38842773438;7;2535.341796875;7;2525.51025390625;7;2516.22412109375;7;2511.22387695313;7;3001.236328125;7;2990.98461914063;7;3025.68188476563;7;2995.830078125;7;2997.47314453125;7;2989.14013671875
8;129.679412841797;8;129.69612121582;8;90.4173736572266;8;90.5937881469727;8;113.492630004883;8;113.749336242676;8;514.560302734375;8;513.5537109375;8;530.53857421875;8;530.008728027344;8;523.267333984375;8;522.925476074219;8;1253.86267089844;8;1250.76342773438;8;1263.75573730469;8;1261.77136230469;8;1261.04052734375;8;1259.22839355469;8;2014.16906738281;8;2008.17395019531;8;2006.07348632813;8;2001.48840332031;8;1989.70947265625;8;1986.1689453125;8;2222.83569335938;8;2216.61474609375;8;2214.18188476563;8;2208.22119140625;8;2224.78344726563;8;2220.65087890625;8;2511.86376953125;8;2503.98168945313;8;2535.5458984375;8;2526.40844726563;8;2516.32495117188;8;2511.9853515625;8;3001.54467773438;8;2991.85375976563;8;3025.89721679688;8;2995.66918945313;8;2998.23217773438;8;2989.79125976563
9;129.681442260742;9;129.672912597656;9;90.4209213256836;9;90.60302734375;9;113.492515563965;9;113.693717956543;9;514.558288574219;9;513.612426757813;9;530.593017578125;9;530.029907226563;9;523.30859375;9;523.034545898438;9;1254.58813476563;9;1251.39038085938;9;1263.71850585938;9;1261.4814453125;9;1261.20666503906;9;1259.46936035156;9;2013.10803222656;9;2006.90026855469;9;2005.80151367188;9;2000.99011230469;9;1989.32641601563;9;1985.74975585938;9;2222.53295898438;9;2216.30859375;9;2214.66381835938;9;2208.61840820313;9;2224.79345703125;9;2221.34790039063;9;2511.46020507813;9;2503.912109375;9;2536.16650390625;9;2526.77709960938;9;2517.04809570313;9;2511.84692382813;9;3000.80883789063;9;2991.583984375;9;3025.419921875;9;2995.53637695313;9;2998.50048828125;9;2990.4169921875
