05_L1_t_PAC1;05_L1_I_PAC1;05_L1_t_PAC2;05_L1_I_PAC2;05_L2_t_PAC1;05_L2_I_PAC1;05_L2_t_PAC2;05_L2_I_PAC2;05_L3_t_PAC1;05_L3_I_PAC1;05_L3_t_PAC2;05_L3_I_PAC2;20_L1_t_PAC1;20_L1_I_PAC1;20_L1_t_PAC2;20_L1_I_PAC2;20_L2_t_PAC1;20_L2_I_PAC1;20_L2_t_PAC2;20_L2_I_PAC2;20_L3_t_PAC1;20_L3_I_PAC1;20_L3_t_PAC2;20_L3_I_PAC2;50_L1_t_PAC1;50_L1_I_PAC1;50_L1_t_PAC2;50_L1_I_PAC2;50_L2_t_PAC1;50_L2_I_PAC1;50_L2_t_PAC2;50_L2_I_PAC2;50_L3_t_PAC1;50_L3_I_PAC1;50_L3_t_PAC2;50_L3_I_PAC2;80_L1_t_PAC1;80_L1_I_PAC1;80_L1_t_PAC2;80_L1_I_PAC2;80_L2_t_PAC1;80_L2_I_PAC1;80_L2_t_PAC2;80_L2_I_PAC2;80_L3_t_PAC1;80_L3_I_PAC1;80_L3_t_PAC2;80_L3_I_PAC2;90_L1_t_PAC1;90_L1_I_PAC1;90_L1_t_PAC2;90_L1_I_PAC2;90_L2_t_PAC1;90_L2_I_PAC1;90_L2_t_PAC2;90_L2_I_PAC2;90_L3_t_PAC1;90_L3_I_PAC1;90_L3_t_PAC2;90_L3_I_PAC2;100_L1_t_PAC1;100_L1_I_PAC1;100_L1_t_PAC2;100_L1_I_PAC2;100_L2_t_PAC1;100_L2_I_PAC1;100_L2_t_PAC2;100_L2_I_PAC2;100_L3_t_PAC1;100_L3_I_PAC1;100_L3_t_PAC2;100_L3_I_PAC2;120_L1_t_PAC1;120_L1_I_PAC1;120_L1_t_PAC2;120_L1_I_PAC2;120_L2_t_PAC1;120_L2_I_PAC1;120_L2_t_PAC2;120_L2_I_PAC2;120_L3_t_PAC1;120_L3_I_PAC1;120_L3_t_PAC2;120_L3_I_PAC2
0;151.071472167969;0;151.235397338867;0;120.169296264648;0;120.418869018555;0;148.662078857422;0;148.990447998047;0;609.456237792969;0;608.444030761719;0;598.068969726563;0;597.581848144531;0;573.046997070313;0;572.943969726563;0;1486.15307617188;0;1482.00634765625;0;1504.23779296875;0;1501.47570800781;0;1481.533203125;0;1479.482421875;0;2405.50048828125;0;2374.16088867188;0;2425.22583007813;0;2390.41528320313;0;2397.33862304688;0;2390.13037109375;0;2724.5029296875;0;2702.17553710938;0;2687.3896484375;0;2629.96728515625;0;2702.86669921875;0;2696.2255859375;0;2982.17993164063;0;2970.06787109375;0;3020.48388671875;0;2934.0048828125;0;2989.2939453125;0;2983.53100585938;0;3610.25927734375;0;3571.42749023438;0;3608.76049804688;0;3409.46215820313;0;3610.46801757813;0;3574.03002929688
1;151.088623046875;1;151.256103515625;1;120.191940307617;1;120.42903137207;1;148.657211303711;1;148.98583984375;1;609.425354003906;1;608.410095214844;1;597.863830566406;1;597.255004882813;1;573.056701660156;1;572.8125;1;1486.84448242188;1;1483.90979003906;1;1504.89135742188;1;1502.70629882813;1;1482.27075195313;1;1481.30725097656;1;2405.50048828125;1;2409.63525390625;1;2425.22583007813;1;2404.248046875;1;2397.33862304688;1;2395.07885742188;1;2692.03198242188;1;2702.17553710938;1;2672.44287109375;1;2629.96728515625;1;2699.77172851563;1;2696.2255859375;1;2981.57104492188;1;2969.171875;1;3020.0361328125;1;2933.35864257813;1;2988.01513671875;1;2982.10791015625;1;3608.66235351563;1;3572.04931640625;1;3607.52465820313;1;3409.99096679688;1;3609.0439453125;1;3574.5849609375
2;151.082260131836;2;151.242630004883;2;120.199630737305;2;120.448135375977;2;148.666534423828;2;148.976150512695;2;609.277648925781;2;608.930847167969;2;597.917297363281;2;600.486145019531;2;572.979309082031;2;578.928466796875;2;1488.18115234375;2;1484.87121582031;2;1505.78088378906;2;1503.59399414063;2;1484.05163574219;2;1482.61059570313;2;2429.1025390625;2;2420.25537109375;2;2434.52416992188;2;2407.23364257813;2;2398.25341796875;2;2394.57885742188;2;2674.02709960938;2;2664.20556640625;2;2667.52685546875;2;2617.34545898438;2;2698.48828125;2;2694.39404296875;2;2982.63354492188;2;2971.28491210938;2;3020.330078125;2;2934.82006835938;2;2988.34106445313;2;2984.00830078125;2;3609.6083984375;2;3574.14868164063;2;3608.22412109375;2;3411.50317382813;2;3609.8447265625;2;3576.5361328125
3;151.090438842773;3;151.272338867188;3;120.227424621582;3;120.455963134766;3;148.660400390625;3;149.01708984375;3;612.235595703125;3;612.317138671875;3;608.943542480469;3;610.886535644531;3;598.185424804688;3;605.549682617188;3;1488.66186523438;3;1485.57592773438;3;1506.66589355469;3;1504.48620605469;3;1484.14050292969;3;1482.88317871094;3;2427.0146484375;3;2421.95043945313;3;2432.7470703125;3;2408.80419921875;3;2396.19189453125;3;2394.71655273438;3;2673.24536132813;3;2664.20556640625;3;2669.06079101563;3;2617.34545898438;3;2698.37817382813;3;2694.39404296875;3;2982.24267578125;3;2969.15112304688;3;3019.62744140625;3;2932.72680664063;3;2987.9833984375;3;2982.92138671875;3;3609.41430664063;3;3571.01538085938;3;3606.93017578125;3;3408.66918945313;3;3609.50415039063;3;3573.75390625
4;151.073944091797;4;151.208694458008;4;120.213897705078;4;120.449493408203;4;148.680801391602;4;148.950637817383;4;613.748168945313;4;612.839721679688;4;611.856628417969;4;611.453063964844;4;607.929443359375;4;607.880004882813;4;1488.6962890625;4;1484.0185546875;4;1506.87316894531;4;1503.00170898438;4;1484.3828125;4;1481.65222167969;4;2426.345703125;4;2418.2763671875;4;2432.42260742188;4;2406.25439453125;4;2396.00366210938;4;2392.1875;4;2672.53881835938;4;2667.05688476563;4;2669.08618164063;4;2624.98583984375;4;2697.26025390625;4;2694.86645507813;4;2982.97143554688;4;2971.35620117188;4;3020.7919921875;4;2934.5087890625;4;2989.64819335938;4;2985.6181640625;4;3609.45532226563;4;3574.28881835938;4;3607.15112304688;4;3410.29931640625;4;3608.64770507813;4;3576.39599609375
5;150.987747192383;5;151.159683227539;5;120.210868835449;5;120.458763122559;5;148.605819702148;5;148.916427612305;5;614.082641601563;5;613.167663574219;5;611.988708496094;5;611.240905761719;5;608.134216308594;5;607.870666503906;5;1488.63012695313;5;1485.68811035156;5;1506.83325195313;5;1504.95703125;5;1484.06982421875;5;1483.24255371094;5;2428.22143554688;5;2419.6171875;5;2434.904296875;5;2407.47998046875;5;2398.33325195313;5;2393.64208984375;5;2681.52612304688;5;2676.00268554688;5;2699.35595703125;5;2668.17993164063;5;2701.69848632813;5;2702.05517578125;5;2984.01879882813;5;2971.1689453125;5;3021.58837890625;5;2934.29565429688;5;2990.81689453125;5;2985.576171875;5;3612.15600585938;5;3576.9296875;5;3609.30712890625;5;3412.44946289063;5;3610.9130859375;5;3578.51245117188
6;150.994552612305;6;151.188400268555;6;120.238067626953;6;120.471420288086;6;148.629531860352;6;148.975738525391;6;613.918212890625;6;613.050720214844;6;611.6064453125;6;611.287780761719;6;607.977111816406;6;607.974914550781;6;1487.6279296875;6;1483.90490722656;6;1505.8935546875;6;1503.05480957031;6;1482.87353515625;6;1481.23217773438;6;2428.08178710938;6;2421.46655273438;6;2433.9814453125;6;2409.06884765625;6;2397.64892578125;6;2394.619140625;6;2689.61572265625;6;2681.55249023438;6;2734.05541992188;6;2685.42578125;6;2712.1796875;6;2710.68408203125;6;2983.69409179688;6;2971.18920898438;6;3020.55810546875;6;2933.580078125;6;2990.28198242188;6;2984.96826171875;6;3613.59936523438;6;3573.96313476563;6;3610.861328125;6;3411.09545898438;6;3612.34643554688;6;3575.38061523438
7;151.016677856445;7;151.188735961914;7;120.250610351563;7;120.463943481445;7;148.665191650391;7;148.978088378906;7;614.259460449219;7;613.216979980469;7;612.005187988281;7;611.41650390625;7;608.340759277344;7;608.124267578125;7;1487.6279296875;7;1485.23840332031;7;1505.8935546875;7;1504.43383789063;7;1482.87353515625;7;1482.13952636719;7;2429.60424804688;7;2421.46655273438;7;2435.93969726563;7;2409.06884765625;7;2399.06689453125;7;2394.619140625;7;2689.611328125;7;2680.23071289063;7;2736.80541992188;7;2683.98950195313;7;2713.87744140625;7;2710.0888671875;7;2983.88330078125;7;2972.00927734375;7;3020.52880859375;7;2934.03344726563;7;2989.99536132813;7;2985.31860351563;7;3611.08911132813;7;3575.23046875;7;3607.58740234375;7;3411.25341796875;7;3609.056640625;7;3576.04760742188
8;151.041473388672;8;151.232971191406;8;120.263168334961;8;120.509796142578;8;148.664505004883;8;148.969772338867;8;613.7880859375;8;612.890319824219;8;611.541931152344;8;611.248718261719;8;607.903015136719;8;607.827941894531;8;1488.34643554688;8;1484.52392578125;8;1506.62780761719;8;1503.6279296875;8;1483.66296386719;8;1481.85717773438;8;2427.69555664063;8;2421.2880859375;8;2434.5732421875;8;2410.15209960938;8;2397.69360351563;8;2395.47827148438;8;2689.5869140625;8;2679.46728515625;8;2736.85620117188;8;2683.11840820313;8;2714.22827148438;8;2709.63110351563;8;2984.98364257813;8;2972.5478515625;8;3021.15600585938;8;2934.42919921875;8;2990.87426757813;8;2986.51733398438;8;3611.08911132813;8;3573.43017578125;8;3607.58740234375;8;3409.45922851563;8;3609.056640625;8;3574.85888671875
9;151.059661865234;9;151.237152099609;9;120.262985229492;9;120.497169494629;9;148.640823364258;9;148.968307495117;9;614.340209960938;9;613.216979980469;9;611.853332519531;9;611.325500488281;9;608.293762207031;9;608.046203613281;9;1488.42956542969;9;1484.72375488281;9;1506.69079589844;9;1503.46240234375;9;1483.94299316406;9;1482.05139160156;9;2428.3603515625;9;2421.2880859375;9;2435.39721679688;9;2410.15209960938;9;2398.39331054688;9;2395.47827148438;9;2689.3515625;9;2680.05615234375;9;2736.1572265625;9;2683.28369140625;9;2713.94555664063;9;2710.09423828125;9;2984.7421875;9;2971.48608398438;9;3021.28295898438;9;2935.66772460938;9;2991.01171875;9;2987.64794921875;9;3607.33032226563;9;3576.39428710938;9;3604.10278320313;9;3411.92724609375;9;3605.5185546875;9;3577.88916015625
